sym,open,high,low,close,volume,date,time
bitcoin,32068.84,32567.88,31450,32045.14,6529.253248,2021/1/4,8:00:00
bitcoin,32045.15,32152.15,30248.85,31038.63,11271.89653,2021/1/4,9:00:00
bitcoin,31038.35,31227.33,28130,30270.76,19376.83118,2021/1/4,10:00:00
bitcoin,30270.76,30900.2,29400,30743.06,9413.490067,2021/1/4,11:00:00
bitcoin,30742.99,31434.07,30454.25,31219.02,8316.880828,2021/1/4,12:00:00
bitcoin,31219.03,31400,30600,31400,5474.654787,2021/1/4,13:00:00
bitcoin,31400,32167.93,31400,32113.68,7479.383587,2021/1/4,14:00:00
bitcoin,32113.68,32185.67,31550,31745.72,5321.620251,2021/1/4,15:00:00
bitcoin,31745.71,31920,30723,31320.31,8174.285783,2021/1/4,16:00:00
bitcoin,31320.3,31523.01,30626.36,31024.17,4962.562729,2021/1/4,17:00:00
bitcoin,31022.25,31465.44,31001,31165.16,3361.43987,2021/1/4,18:00:00
bitcoin,31165.16,31855.75,31104.99,31665.51,3388.372221,2021/1/4,19:00:00
bitcoin,31665.52,31830.95,31210,31244.97,2850.963087,2021/1/4,20:00:00
bitcoin,31244.97,31579,30856.08,31014.27,3202.456127,2021/1/4,21:00:00
bitcoin,31014.27,31474.78,30950,31332.05,1646.484138,2021/1/4,22:00:00
bitcoin,31332.05,32031.01,31150,31988.71,4193.648728,2021/1/4,23:00:00
bitcoin,31989.75,32853.38,31989.74,32430.49,7707.64341,2021/1/5,0:00:00
bitcoin,32430.69,32796,32224.25,32786.06,4246.96065,2021/1/5,1:00:00
bitcoin,32786.05,32828.26,32221.1,32306.64,3163.430044,2021/1/5,2:00:00
bitcoin,32306.64,32536.09,31130.86,31200,5695.044496,2021/1/5,3:00:00
bitcoin,31190.04,31538.45,30418,30858.98,7229.486366,2021/1/5,4:00:00
bitcoin,30858.98,31366.16,29900,30436.25,6366.976124,2021/1/5,5:00:00
bitcoin,30436.26,31270.43,29900,31123.25,6611.210735,2021/1/5,6:00:00
bitcoin,31123.25,31312.03,30759.47,30817.77,2811.383953,2021/1/5,7:00:00
bitcoin,30817.78,31522.19,30817.78,31192.09,3237.120957,2021/1/5,8:00:00
bitcoin,31192.16,31821.94,31157.9,31569.63,3935.597979,2021/1/5,9:00:00
bitcoin,31569.63,31687.11,31088.33,31345.77,3174.760396,2021/1/5,10:00:00
bitcoin,31347.73,31777,31284.15,31776.66,2908.121768,2021/1/5,11:00:00
bitcoin,31776.66,32057.13,31563.84,31585.01,4161.551334,2021/1/5,12:00:00
bitcoin,31585,31900,31416.27,31460.01,2523.023165,2021/1/5,13:00:00
bitcoin,31460.11,32375.07,31111.78,32342.33,5942.102854,2021/1/5,14:00:00
bitcoin,32343.61,32374.31,31929.41,32099.98,3616.599016,2021/1/5,15:00:00
bitcoin,32099.97,32670,31763.23,32469.9,4926.171616,2021/1/5,16:00:00
bitcoin,32469.9,32790,32254.18,32742.73,3599.645718,2021/1/5,17:00:00
bitcoin,32742.73,33433.55,32650.03,33372.84,6647.009921,2021/1/5,18:00:00
bitcoin,33372.83,34187.09,33098.82,33697.75,8659.338503,2021/1/5,19:00:00
bitcoin,33693.8,34044.13,33318,33969.17,5800.653907,2021/1/5,20:00:00
bitcoin,33968.66,33996.03,33471.94,33699.63,3682.074151,2021/1/5,21:00:00
bitcoin,33699.63,34360,33695.6,34183.42,4616.403334,2021/1/5,22:00:00
bitcoin,34183.43,34284.91,33650,33949.53,4787.686641,2021/1/5,23:00:00
bitcoin,33949.53,34107.59,33288,33918.01,6106.351924,2021/1/6,0:00:00
bitcoin,33918.01,34018.93,33513.05,33811.28,3237.659354,2021/1/6,1:00:00
bitcoin,33811.28,34135.84,33768.32,33873.3,3252.254556,2021/1/6,2:00:00
bitcoin,33873.3,34170,33652,34117.59,3183.088045,2021/1/6,3:00:00
bitcoin,34116.76,35766.58,34109.83,35325.91,12735.41763,2021/1/6,4:00:00
bitcoin,35326.82,35590,34510,34978.91,5595.783676,2021/1/6,5:00:00
bitcoin,34977.27,35229.1,34782.44,35125.51,3923.026403,2021/1/6,6:00:00
bitcoin,35125.49,35248.63,34350,34676.4,3898.737284,2021/1/6,7:00:00
bitcoin,34666.8,34950.77,34015,34594.28,5094.759196,2021/1/6,8:00:00
bitcoin,34596.08,34607.69,33357.9,33919.5,5753.91297,2021/1/6,9:00:00
bitcoin,33919.5,34550,33834.61,34417.36,3851.574259,2021/1/6,10:00:00
bitcoin,34417.37,35200,34342.87,34918.53,6362.804142,2021/1/6,11:00:00
bitcoin,34918.54,35088,34415.61,34929.87,4569.514665,2021/1/6,12:00:00
bitcoin,34929.87,35050,34300,34550,4296.272331,2021/1/6,13:00:00
bitcoin,34549.99,34593.5,34052.42,34213.46,5728.368095,2021/1/6,14:00:00
bitcoin,34213.58,34790,34150,34566.19,4050.156848,2021/1/6,15:00:00
