date,sym,open,high,low,close,volume
2017/8/17,bitcoin,4261.48,4485.39,4200.74,4285.08,795.150377
2017/8/18,bitcoin,4285.08,4371.52,3938.77,4108.37,1199.888264
2017/8/19,bitcoin,4108.37,4184.69,3850,4139.98,381.309763
2017/8/20,bitcoin,4120.98,4211.08,4032.62,4086.29,467.083022
2017/8/21,bitcoin,4069.13,4119.62,3911.79,4016,691.74306
2017/8/22,bitcoin,4016,4104.82,3400,4040,966.684858
2017/8/23,bitcoin,4040,4265.8,4013.89,4114.01,1001.136565
2017/8/24,bitcoin,4147,4371.68,4085.01,4316.01,787.418753
2017/8/25,bitcoin,4316.01,4453.91,4247.48,4280.68,573.61274
2017/8/26,bitcoin,4280.71,4367,4212.41,4337.44,228.108068
2017/8/27,bitcoin,4332.51,4400,4285.54,4310.01,350.692585
2017/8/28,bitcoin,4310.01,4399.82,4124.54,4386.69,603.841616
2017/8/29,bitcoin,4353.65,4625.85,4313.55,4587.48,603.545028
2017/8/30,bitcoin,4564.52,4647.51,4416.01,4555.14,808.468771
2017/8/31,bitcoin,4555.14,4745.42,4555.14,4724.89,556.956802
2017/9/1,bitcoin,4689.89,4885.55,4654.88,4834.91,560.666366
2017/9/2,bitcoin,4796.16,4939.19,4286.87,4472.14,929.148595
2017/9/3,bitcoin,4508.5,4714.76,4298.33,4509.08,691.216198
2017/9/4,bitcoin,4505,4527.49,3972.51,4100.11,1394.644614
2017/9/5,bitcoin,4106.97,4484.99,3603,4366.47,1228.938157
2017/9/6,bitcoin,4366.49,4662.87,4335.26,4619.77,807.363726
2017/9/7,bitcoin,4619.77,4788.59,4438.19,4691.61,500.429975
2017/9/8,bitcoin,4691.66,4735.39,4028.93,4282.8,1132.255046
2017/9/9,bitcoin,4282.8,4426.62,4150.06,4258.81,658.782952
2017/9/10,bitcoin,4258.81,4283,3801,4130.37,660.373275
2017/9/11,bitcoin,4153.62,4334.43,4098.91,4208.47,699.989065
2017/9/12,bitcoin,4208.6,4394.59,4040.8,4163.72,879.630319
2017/9/13,bitcoin,4159.72,4165.38,3760,3944.69,913.462545
2017/9/14,bitcoin,3944,3993,3165.13,3189.02,1665.021543
2017/9/15,bitcoin,3188.01,3856,2817,3700,1968.866492
2017/9/16,bitcoin,3674.01,3950,3470.66,3714.95,1297.563953
2017/9/17,bitcoin,3685.23,3748.21,3499.02,3699.99,682.17121
2017/9/18,bitcoin,3690,4123.2,3690,4035.01,1030.006455
2017/9/19,bitcoin,4060,4089.97,3830.91,3910.04,902.332129
2017/9/20,bitcoin,3910.04,4046.08,3820,3900,720.935076
2017/9/21,bitcoin,3889.99,3910,3567,3609.99,1001.654084
2017/9/22,bitcoin,3592.84,3750,3505.55,3595.87,838.966425
2017/9/23,bitcoin,3595.88,3817.19,3542.91,3780,752.792791
2017/9/24,bitcoin,3779.54,3789.99,3622.76,3660.02,661.63639
2017/9/25,bitcoin,3660.02,3979.87,3653.69,3920.75,727.994713
2017/9/26,bitcoin,3928,3976.99,3850.05,3882.35,526.727987
2017/9/27,bitcoin,3882.36,4249.94,3872.81,4193,628.170966
2017/9/28,bitcoin,4192.11,4300,4101,4174.5,849.785325
2017/9/29,bitcoin,4178.98,4263.86,3952.01,4174.69,1602.309565
2017/9/30,bitcoin,4175,4380,4138.1,4378.51,720.353183
2017/10/1,bitcoin,4378.49,4406.52,4240.04,4378.48,726.963685
2017/10/2,bitcoin,4400,4561.63,4360,4380,655.756974
2017/10/3,bitcoin,4380,4467.33,4180.8,4310,1082.323563
2017/10/4,bitcoin,4314.9,4373,4142,4208.59,868.465101
2017/10/5,bitcoin,4208.59,4355,4110,4292.43,779.138638
2017/10/6,bitcoin,4318.99,4417,4292,4369,506.529176
2017/10/7,bitcoin,4369,4479.5,4312.56,4423,297.5975
2017/10/8,bitcoin,4425,4658,4425,4640,518.462004
2017/10/9,bitcoin,4640,4889.98,4550,4786.95,646.463145
2017/10/10,bitcoin,4786.95,4960,4680.59,4783.06,1043.221773
2017/10/11,bitcoin,4783.06,4881.61,4710,4821.43,753.429396
2017/10/12,bitcoin,4821.43,5439.99,4810.16,5430,1276.701482
2017/10/13,bitcoin,5439.99,5846.17,5379.84,5649.98,1879.82762
2017/10/14,bitcoin,5650,5900,5580.01,5869.99,970.759046
2017/10/15,bitcoin,5855.03,5922.3,5400.01,5709.99,1343.523375
2017/10/16,bitcoin,5710,5788.91,5585.19,5760.02,1528.996462
2017/10/17,bitcoin,5760,5774.98,5508.63,5595,1429.869376
2017/10/18,bitcoin,5595,5596,5037.95,5512.06,2317.804373
2017/10/19,bitcoin,5513,5710,5490.26,5683.9,1881.722107
2017/10/20,bitcoin,5683.31,6110,5600,6010.01,1972.97722
2017/10/21,bitcoin,6013.72,6171,5850.03,6024.97,1664.307693
2017/10/22,bitcoin,6003.27,6060,5720.03,5950.02,1362.092216
2017/10/23,bitcoin,5975,6080,5621.03,5915.93,1812.557715
